,text,cnpj,count
16138,../data/Buscas de palavras chaves/emergencial/711.txt,09.494.737/0001-49,1
16169,../data/Buscas de palavras chaves/emergencial/715.txt,04.211.082/0001-31,1
16301,../data/Buscas de palavras chaves/emergencial/728.txt,19.682.663/0001-26,1
16307,../data/Buscas de palavras chaves/emergencial/728.txt,27.165.182/0001-21,1
16332,../data/Buscas de palavras chaves/emergencial/732.txt,07.199.118/0001-32,1
16336,../data/Buscas de palavras chaves/emergencial/732.txt,09.930.287/0001-60,1
17102,../data/Buscas de palavras chaves/emergencial/80.txt,00.162.137/2014-91,2
17175,../data/Buscas de palavras chaves/emergencial/80.txt,31.089.522/0001-41,1
17547,../data/Buscas de palavras chaves/emergencial/80.txt,44.133.819/0001-30,1
17548,../data/Buscas de palavras chaves/emergencial/80.txt,45.229.153/0001-10,1
17650,../data/Buscas de palavras chaves/emergencial/823.txt,20.414.780/0001-35,1
17677,../data/Buscas de palavras chaves/emergencial/823.txt,30.681.365/0001-04,1
17681,../data/Buscas de palavras chaves/emergencial/823.txt,32.962.698/0001-31,1
17687,../data/Buscas de palavras chaves/emergencial/823.txt,36.390.358/0001-60,1
17696,../data/Buscas de palavras chaves/emergencial/843.txt,02.728.618/0001-21,1
17805,../data/Buscas de palavras chaves/emergencial/882.txt,14.884.711/0001-45,2
17816,../data/Buscas de palavras chaves/emergencial/882.txt,27.165.182/0001-21,2
17902,../data/Buscas de palavras chaves/emergencial/890.txt,94.389.400/0001-04,1
17928,../data/Buscas de palavras chaves/emergencial/896.txt,62.729.178/0004-91,1
17959,../data/Buscas de palavras chaves/emergencial/900.txt,20.992.487/0001-40,1
17987,../data/Buscas de palavras chaves/emergencial/900.txt,93.399.400/0001-38,1
18002,../data/Buscas de palavras chaves/emergencial/903.txt,12.063.197/0001-59,1
18042,../data/Buscas de palavras chaves/emergencial/912.txt,16.941.580/0001-80,1
18053,../data/Buscas de palavras chaves/emergencial/912.txt,27.167.745/0001-67,2
18141,../data/Buscas de palavras chaves/emergencial/922.txt,00.881.181/0001-57,1
18185,../data/Buscas de palavras chaves/emergencial/922.txt,36.215.108/0001-24,1
18200,../data/Buscas de palavras chaves/emergencial/924.txt,62.729.178/0004-91,1
18388,../data/Buscas de palavras chaves/emergencial/964.txt,05.703.059/0001-54,1
18397,../data/Buscas de palavras chaves/emergencial/964.txt,33.205.757/0001-37,1
18521,../data/Buscas de palavras chaves/emergencial/983.txt,07.722.566/0001-52,1
18542,../data/Buscas de palavras chaves/emergencial/983.txt,27.165.182/0001-21,1
18548,../data/Buscas de palavras chaves/emergencial/983.txt,30.681.365/0001-04,1
18557,../data/Buscas de palavras chaves/emergencial/983.txt,36.287.959/0001-79,1
18604,../data/Buscas de palavras chaves/emergencial/999.txt,06.044.486/0001-66,1
84,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1047.txt,12.196.993/0001-41,1
160,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1060.txt,36.215.108/0001-24,1
809,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1142.txt,12.196.993/0001-41,1
880,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1144.txt,13.335.920/0001-20,1
902,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1144.txt,32.194.305/0001-12,1
964,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1168.txt,27.165.345/0001-90,1
1181,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,09.649.306/0001-49,1
1193,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,14.866.880/0001-50,1
1201,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,19.244.814/0001-38,1
1240,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1210.txt,60.085.055/0435-31,1
1314,../data/Buscas de palavras chaves/Demanda Emergencial Covid-19/1224.txt,06.629.746/0001-09,1
